experiment,Q mean V(s),DoubleQ mean V(s),Q peak,DoubleQ peak,mean V(s) reduction %
4x4_deterministic,0.60231560546875,0.60231560546875,1.0,1.0,0.0
4x4_slippery,0.38180329263876234,0.35480415717928643,0.9078417839720059,0.9000566358828579,7.0714778997520975
8x8_deterministic,0.7077691940382846,0.6690078721346965,1.0,1.0,5.476548319718403
8x8_slippery,0.3109473375991869,0.2712569738269581,0.8908188018052599,0.8749889494326812,12.764336263071632
